"","Gene","log2( Max Expression Level )","Raw Gini Index","Normalized Gini Index","p-value"
"gene 416","gene 416",0.61297355837888,0.317452308288252,-0.0321620493358584,0.230276715501289
"gene 969","gene 969",0.554147249034976,0.940763581733687,0.0516491046393469,0.23037800940751
"gene 984","gene 984",0.600172320041175,0.682708102873796,0.0516233644387059,0.230515762916866
"gene 377","gene 377",0.449945662229706,1.11149733471358,-0.0321063138351185,0.230574979239449
"gene 334","gene 334",0.542494068867303,0.582979846143503,-0.0319205002144609,0.231570902827253
"gene 403","gene 403",0.519622965006482,0.67026177696129,-0.031821722760351,0.232101304665319
"gene 698","gene 698",0.562403000049805,0.508143934037917,-0.0316232547065328,0.233169053197881
"gene 782","gene 782",0.530334895631959,0.629620565493792,-0.0314165956504912,0.234283760814535
"gene 617","gene 617",0.455999758580038,1.06434903545682,-0.0312546455929294,0.235159368068037
"gene 166","gene 166",0.663410438156147,0.137503523749935,-0.0312431684933298,0.23522148922998
"gene 261","gene 261",0.47640407148098,0.909313250101302,-0.0307788318567785,0.237742351162096
"gene 826","gene 826",0.655862393199334,0.463364653773145,0.0500775142616786,0.238872572011148
"gene 122","gene 122",0.522356769198524,1.20758992541872,0.0494441402378955,0.242343827711733
"gene 962","gene 962",0.510232479093875,1.32073882913537,0.0494202707645803,0.242475178551354
"gene 591","gene 591",0.495053632500952,0.80194720476545,-0.0298780472959209,0.242674650203164
"gene 588","gene 588",0.468371719357787,0.973297437396087,-0.0296845278462923,0.243741460565633
"gene 835","gene 835",0.48018352541588,0.892099430730697,-0.0296553309068506,0.243902633394102
"gene 133","gene 133",0.532143447997174,0.629620565493792,-0.0296080432852769,0.244163792281629
"gene 865","gene 865",0.485521934883573,1.57625847253902,0.0490497838084409,0.24451885955747
"gene  67","gene  67",0.561736974579916,0.873729554910392,0.0489881610119854,0.244859681154772
"gene 308","gene 308",0.48783443269519,0.847171131583033,-0.0292662782504391,0.246055758554562
"gene 722","gene 722",0.445123090620354,1.19378481168635,-0.0291985055538285,0.246431871499094
"gene 708","gene 708",0.477210046811584,0.914816942436784,-0.0291376816925675,0.246769683174137
"gene 943","gene 943",0.464979997505512,1.00610770048217,-0.0291258659700073,0.246835335658111
"gene 910","gene 910",0.447941365374798,1.16543913989932,-0.0290772803631105,0.247105393331424
"gene  32","gene  32",0.570637560971982,0.486487843800437,-0.0290200663944881,0.2474236133172
"gene 938","gene 938",0.527053594097458,1.14878530288514,0.0485082962735001,0.247522428702465
"gene 351","gene 351",0.450448387660798,1.13999573778692,-0.0289030914121564,0.248074900800822
"gene 556","gene 556",0.5831646611203,0.748275385267589,0.0481888876346152,0.24930335198725
"gene 659","gene 659",0.703347005306476,0.279701100957027,0.0481483333009053,0.249529956745095
"gene 888","gene 888",0.527070897586074,1.1444312830265,0.0481268843989933,0.249649850640432
"gene 597","gene 597",0.410764099014788,1.54509156351038,-0.0285329681024215,0.250141665575203
"gene  51","gene  51",0.492707644084051,1.48489602609355,0.0478738102229104,0.251066778068119
"gene 648","gene 648",0.441796947012558,1.23291857853791,-0.0283401112788516,0.251222184372583
